,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0xFF906F,0xFF09F6,0,-1,9,0x0,0x9,32,QFX TMS-801 speaker,Vol+,,,
0xFF30CF,0xFF0CF3,0,-1,12,0x0,0xC,32,QFX TMS-801 speaker,1,,,
0xFFB04F,0xFF0DF2,0,-1,13,0x0,0xD,32,QFX TMS-801 speaker,USB/SD,,,
0xFFA857,0xFF15EA,0,-1,21,0x0,0x15,32,QFX TMS-801 speaker,Vol-,,,
0xFF6897,0xFF16E9,0,-1,22,0x0,0x16,32,QFX TMS-801 speaker,0,,,
0xFF18E7,0xFF18E7,0,-1,24,0x0,0x18,32,QFX TMS-801 speaker,2,,,
0xFF9867,0xFF19E6,0,-1,25,0x0,0x19,32,QFX TMS-801 speaker,RPT,,,
0xFF38C7,0xFF1CE3,0,-1,28,0x0,0x1C,32,QFX TMS-801 speaker,5,,,
0xFF02FD,0xFF40BF,0,-1,64,0x0,0x40,32,QFX TMS-801 speaker,Prev,,,
0xFF42BD,0xFF42BD,0,-1,66,0x0,0x42,32,QFX TMS-801 speaker,7,,,
0xFFC23D,0xFF43BC,0,-1,67,0x0,0x43,32,QFX TMS-801 speaker,Next,,,
0xFF22DD,0xFF44BB,0,-1,68,0x0,0x44,32,QFX TMS-801 speaker,Play/Pause,,,
0xFFA25D,0xFF45BA,0,-1,69,0x0,0x45,32,QFX TMS-801 speaker,Power,,,
0xFF629D,0xFF46B9,0,-1,70,0x0,0x46,32,QFX TMS-801 speaker,Mode,,,
0xFFE21D,0xFF47B8,0,-1,71,0x0,0x47,32,QFX TMS-801 speaker,Mute,,,
0xFF52AD,0xFF4AB5,0,-1,74,0x0,0x4A,32,QFX TMS-801 speaker,9,,,
0xFF4AB5,0xFF52AD,0,-1,82,0x0,0x52,32,QFX TMS-801 speaker,8,,,
0xFF5AA5,0xFF5AA5,0,-1,90,0x0,0x5A,32,QFX TMS-801 speaker,6,,,
0xFF7A85,0xFF5EA1,0,-1,94,0x0,0x5E,32,QFX TMS-801 speaker,3,,,
0x5743C03F,0xEAC203FC,234,-1,3,0xEA,0x3,32,Roku (C2EA),Home (562859),01010111 01000011 11000000 00111111,01010111010000111100000000111111,11101010110000100000001111111100
0x5743AD52,0xEAC2B54A,234,-1,181,0xEA,0xB5,32,Roku (C2EA),discovery+ (593290),,,
0x57431DE2,0xEAC2B847,234,-1,184,0xEA,0xB8,32,Roku (C2EA),fubo (43465),,,
0x574343BC,0xEAC2C23D,234,-1,194,0xEA,0xC2,32,Roku (C2EA),YouTube (837),,,
0x57430BF4,0xEAC2D02F,234,-1,208,0xEA,0xD0,32,Roku (C2EA),Red Bull TV (51320),,,
,,,-1,,0x0,0x0,32,Roku (C2EA),Jellyfin (592369),,,
,,,-1,,0x0,0x0,32,Roku (C2EA),Netflix (12),,,
,,,-1,,0x0,0x0,32,Roku (C2EA),Disney+ (291097),,,
,,,-1,,0x0,0x0,32,Roku (C2EA),RokuChannel (151908),,,
0x5723C03F,0xEAC403FC,234,-1,3,0xEA,0x3,32,Roku (C4EA),Home (562859),,,
0x57238877,0xEAC411EE,234,-1,17,0xEA,0x11,32,Roku (C4EA),Disney+ (291097),,,
0x57239867,0xEAC419E6,234,-1,25,0xEA,0x19,32,Roku (C4EA),Up,,,
0x57237887,0xEAC41EE1,234,-1,30,0xEA,0x1E,32,Roku (C4EA),Left,,,
0x572354AB,0xEAC42AD5,234,-1,42,0xEA,0x2A,32,Roku (C4EA),OK,,,
0x5723B44B,0xEAC42DD2,234,-1,45,0xEA,0x2D,32,Roku (C4EA),Right,,,
0x5723CC33,0xEAC433CC,234,-1,51,0xEA,0x33,32,Roku (C4EA),Down,,,
0x5723CC33,0xEAC433CC,234,-1,51,0xEA,0x33,32,Roku (C4EA),Down,,,
0x57232CD3,0xEAC434CB,234,-1,52,0xEA,0x34,32,Roku (C4EA),Rev,,,
